Agency,Cadence,Info link,Calendar link,Agenda link,Livestreamed?,Notes
Minneapolis City Council - full council,Thursdays on 2nd week of cycle, 9:30am,https://www.minneapolismn.gov/government/city-council/,https://lims.minneapolismn.gov/Calendar/all/upcoming,,Yes,
Minneapolis City Council - Budget Committee,Mondays on 2nd week of cycle, 1:30pm,https://www.minneapolismn.gov/government/city-council/committees/budget/,https://lims.minneapolismn.gov/Calendar/citycouncil/upcoming/Budget,,Yes,
St. Paul City Council,Every Wednesday at 3:30pm,https://www.stpaul.gov/department/city-council,https://www.stpaul.gov/calendar?page=0,https://stpaul.legistar.com/Calendar.aspx,Yes,
St. Paul Planning Commission,Every other Friday (usually odd),https://www.stpaul.gov/departments/planning-and-economic-development/planning/planning-commission,https://www.stpaul.gov/sites/default/files/planning-economic-development/ped-meeting-calendar-2026.pdf,https://www.stpaul.gov/departments/planning-and-economic-development/planning/planning-commission#meetings--documents,No,
